date,ADOSC
2002-08-08 00:00:00,1452399.1534
2002-08-09 00:00:00,1772723.1972
2002-08-12 00:00:00,2578295.3873
2002-08-13 00:00:00,1325967.7632
2002-08-14 00:00:00,1952844.2415
2002-08-15 00:00:00,3169324.3317
2002-08-16 00:00:00,3786655.3274
2002-08-19 00:00:00,3671742.566
2002-08-20 00:00:00,3669642.5667
2002-08-21 00:00:00,4135926.4418
2002-08-22 00:00:00,4025313.2812
2002-08-23 00:00:00,3768713.5081
2002-08-26 00:00:00,3252816.1129
2002-08-27 00:00:00,1661141.5742
2002-08-28 00:00:00,-250177.1278
2002-08-29 00:00:00,-1320264.1306
2002-08-30 00:00:00,-2069965.4835
2002-09-03 00:00:00,-3761987.3567
2002-09-04 00:00:00,-4072997.0071
2002-09-05 00:00:00,-4037230.6992
2002-09-06 00:00:00,-3950368.9642
2002-09-09 00:00:00,-3413744.1381
2002-09-10 00:00:00,-2734671.5962
2002-09-11 00:00:00,-2642732.886
2002-09-12 00:00:00,-3740756.6011
2002-09-13 00:00:00,-4127065.0757
2002-09-16 00:00:00,-3012495.7435
2002-09-17 00:00:00,-2282672.3127
2002-09-18 00:00:00,-367941.321
2002-09-19 00:00:00,10002.3866
2002-09-20 00:00:00,1500027.6258
2002-09-23 00:00:00,2825220.1988
2002-09-24 00:00:00,3313965.3243
2002-09-25 00:00:00,3323949.1748
2002-09-26 00:00:00,2396069.0637
2002-09-27 00:00:00,2146888.3662
2002-09-30 00:00:00,2760618.2506
2002-10-01 00:00:00,4122634.7259
2002-10-02 00:00:00,3346143.369
2002-10-03 00:00:00,2586732.3561
2002-10-04 00:00:00,1119305.8184
2002-10-07 00:00:00,-911295.0618
2002-10-08 00:00:00,-1401397.689
2002-10-09 00:00:00,-1750852.6928
2002-10-10 00:00:00,-478493.1314
2002-10-11 00:00:00,430226.7332
2002-10-14 00:00:00,1008323.8435
2002-10-15 00:00:00,2574819.8167
2002-10-16 00:00:00,1755468.064
2002-10-17 00:00:00,285156.891
2002-10-18 00:00:00,1217803.209
2002-10-21 00:00:00,2542700.1483
2002-10-22 00:00:00,3373329.6745
2002-10-23 00:00:00,4099296.6315
2002-10-24 00:00:00,3451957.938
2002-10-25 00:00:00,4348325.3196
2002-10-28 00:00:00,4376423.3103
2002-10-29 00:00:00,4054087.7605
2002-10-30 00:00:00,3743751.2453
2002-10-31 00:00:00,2565308.222
2002-11-01 00:00:00,2433498.2199
